Suggested,Sugjeruar
Browse to find or drag image here,Shfletoni për të gjetur ose zvarritur imazhin këtu
Delete image,Fshi imazhin
Hidden,I fshehur
Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>,
via composer or you can download the new version archive from the,
"<a href=""%2"" target=""_blank"">Magefan Store</a>.",
"Please <a href=""%3"" target=""_blank"">contact</a>",
Magefan Team if you have any questions or need help with an update.,"Shtesa juaj e blogut është e vjetëruar. Mund ta përditësoni në <strong>versionin %1</strong> nëpërmjet kompozitorit ose mund të shkarkoni arkivin e ri të versionit nga <a href=""%2"" target=""_blank"">Magefan Store</a> . Ju lutemi <a href=""%3"" target=""_blank"">kontaktoni</a> Ekipin Magefan nëse keni ndonjë pyetje ose keni nevojë për ndihmë me një përditësim."
Related posts,Postime të ngjashme
Posted:,Postuar:
Categories:,Kategoritë:
Comments:,Komentet:
Tags:,Etiketa:
Author:,Autori:
Views:,Shikimet:
We can't find posts matching the selection.,Nuk mund të gjejmë postime që përputhen me përzgjedhjen.
Read more &#187;,Lexo më shumë &quot;
See more,Shiko me shume
Posts loader,Ngarkuesi i postimeve
%1 Comment(s),%1 koment(e)
Add a comment...,Shto një koment...
Sign in to add a comment...,Identifikohu për të shtuar një koment...
Full Name,Emri i plotë
Email,Email
Submit,Paraqisni
Sign In,Hyni
Load more comments,Ngarko më shumë komente
Add a reply...,Shto një përgjigje...
Cancel,Anulo
Reply,Përgjigju
Show more replies in this thread,Shfaq më shumë përgjigje në këtë temë
privacy policy,Politika e privatësisë
"Yes, I have read the %1 and agree to the processing of my personal data.","Po, e kam lexuar %1 dhe jam dakord me përpunimin e të dhënave të mia personale."
Read %1,Lexoni %1
&larr; Previous,&larr; E mëparshme
Next &rarr;,Tjetra &rarr;
Related Posts,Postime të ngjashme
Related Products,Produkte të ngjashme
Add to Cart,Shto në Shportë
In stock,Në magazinë
Out of stock,Nuk ka stok
Add to Wish List,Shtoje tek Lista e deshirave
Add to Compare,Shto te Krahasimi
Archive,Arkivi
Archive %1,Arkivi %1
Categories,Kategoritë
Recent Posts,Postimet e fundit
RSS Feed,RSS Feed
Search,Kërko
Search posts here...,Kërko postimet këtu...
Tags,Etiketat
Read more >,Lexo më shumë >
Back,Mbrapa
Create,Krijo
Delete,Fshije
Are you sure you want to do this?,Jeni i sigurt që dëshironi ta bëni këtë?
Duplicate,Dublikatë
Preview,Parapamje
Reset,Rivendos
Save and Continue Edit,Ruani dhe Vazhdo modifikimin
Save,Ruaj
Manage %1,Menaxho %1
Edit %1,Redakto %1
New %1,%1 e re
Create %1,Krijo %1
Something went wrong: %1,Ndodhi një gabim: %1
%1 has been saved.,%1 është ruajtur.
Something went wrong while saving this %1. %2,Ndodhi një gabim gjatë ruajtjes së këtij %1. %2
%1 has been duplicated.,%1 është dyfishuar.
We can't delete %1 right now. %2,Nuk mund ta fshijmë %1 tani. %2
%1 have been deleted.,%1 janë fshirë.
"Parameter ""Status"" missing in request data.","Parametri ""Status"" mungon në të dhënat e kërkesës."
Status Field Name is not specified.,Emri i fushës së statusit nuk është specifikuar.
We can't change status of %1 right now. %2,Nuk mund ta ndryshojmë statusin e %1 tani. %2
%1 status have been changed.,Statusi i %1 është ndryshuar.
Images (%1),Imazhet (%1)
Slider Revolution Media Gallery,Galeria e Medias Slider Revolution
Slider Editor,Redaktori i rrëshqitësit
Nwdthemes,Nwdtema
Slider Revolution,Revolucioni rrëshqitës
Slider Overview,Përmbledhje e rrëshqitësit
&laquo; Previous,« E mëparshme
Next &raquo;,Tjetra »
&hellip;,…
The directory %1 is not writable by server.,Drejtoria %1 nuk është e shkruajtshme nga serveri.
Table name should not be empty.,Emri i tabelës nuk duhet të jetë bosh.
Where should not be empty.,Ku nuk duhet të jetë bosh.
File validation failed.,Vleresimi i skedarit dështoi.
We can't upload the file right now.,Nuk mund ta ngarkojmë skedarin për momentin.
Please activate Slider Revolution,Ju lutemi aktivizoni Slider Revolution
Revolution Slider Page,Faqja e rrëshqitësit të revolucionit
File not found,Skedari nuk u gjet
No file sent,Asnjë skedar nuk u dërgua
Exceeded filesize limit,U tejkalua kufiri i madhësisë së skedarit
Slider Revolution doesn't allow this filetype,Slider Revolution nuk e lejon këtë lloj skedari
Up,Lart
Down,Poshtë
Left,Majtas
Right,E drejta
Horizontal,Horizontale
Vertical,Vertikale
Reverse,E kundërta
The preview could not be loaded due to some error,Pamja paraprake nuk mund të ngarkohej për shkak të ndonjë gabimi
"Server connection issues, contact your hosting provider for further assistance","Problemet e lidhjes së serverit, kontaktoni ofruesin tuaj të pritjes për ndihmë të mëtejshme"
Edit Skin List,Redakto listën e lëkurës
Color Skin Active,Ngjyra e lëkurës aktive
Core JavaScript,JavaScript bazë
Core CSS,Core CSS
Core Tools (GreenSock & Co),Mjetet kryesore (GreenSock & Co)
Enable Server Compression,Aktivizo kompresimin e serverit
"Not Available, read FAQ","Nuk disponohet, lexoni FAQ"
Serverside Compression,Kompresimi i serverit
Size after Optimization,Madhësia pas optimizmit
Change Image Size or Src,Ndrysho madhësinë e imazhit ose Src
Pick another Dimension,Zgjidh një dimension tjetër
Optimize,Optimizo
Save Changes,Ruaj ndryshimet
Apply Changes,Aplikoni Ndryshimet
Suggestion,Sugjerim
Too Small,Shumë e vogël
Standard (1x),Standard (1x)
Retina (2x),Retina (2x)
Oversized,I tepruar
Quality,Cilësia
File,Skedari
Resize,Ndryshimi i madhësisë
Optimized (Low Quality),Optimizuar (Cilësi e ulët)
Not Retina Ready,Jo Retina gati
Element,Elementi
Calculating...,Duke llogaritur...
File Size,Madhësia e skedarit
Dimension,Dimensioni
Dimensions,Dimensionet
Optimization,Optimizimi
Optimized,E optimizuar
Smart Resize,Ndryshimi i përmasave inteligjente
Optimal,Optimale
Recommended,Rekomanduar
Highly Recommended,Shumë e rekomanduar
File Size Optimizer,Optimizuesi i madhësisë së skedarit
Loaded Media Files,Skedarët media të ngarkuar
Optimize to save up to,Optimizojeni për të kursyer deri në
Optimize Selection,Optimizo përzgjedhjen
Visibility,Dukshmëria
Layers,Shtresat
Video ID,ID-ja e videos
YouTube ID,ID-ja e YouTube
Vimeo ID,Vimeo ID
Poster,Poster
YouTube Poster,Posteri i YouTube
Vimeo Poster,Poster Vimeo
Poster Image,Imazhi i posterit
Media Library,Biblioteka mediatike
Object Library,Biblioteka e objekteve
Video Source,Burimi i videos
Image Source,Burimi i imazhit
External Image Source,Burimi i jashtëm i imazhit
Image Based,I bazuar në imazh
External Image,Imazhi i jashtëm
Background Color,Ngjyrë e sfondit
Transparent,Transparente
Please Wait a Moment,Ju lutemi prisni një moment
Backgrounds,Sfondet
Name,Emri
Color Picker,Zgjedhësi i ngjyrave
Save Content,Ruaj përmbajtjen
Module Background,Sfondi i modulit
Wrapping Tag,Etiketa e mbështjelljes
Content,përmbajtja
No Layers to Edit,Nuk ka shtresa për të modifikuar
Layer Media,Media e shtresave
Ooppps....,Oopps....
None of the Settings changed. There is Nothing to Save,Asnjë nga cilësimet nuk ka ndryshuar. Nuk ka asgjë për të shpëtuar
Enter Preset Name to Save or Delete,Futni emrin e paracaktuar për ta ruajtur ose fshirë
Custom Size is currently Disabled,Madhësia e personalizuar është aktualisht e çaktivizuar
The Current Size is set to calculate the Layer grid sizes Automatically.<br>Do you want to continue with Custom Sizes or do you want to keep the Automatically generated sizes ?,Madhësia aktuale është caktuar për të llogaritur automatikisht madhësitë e rrjetit të shtresave.<br>Dëshironi të vazhdoni me madhësitë e personalizuara apo dëshironi të mbani madhësitë e krijuara automatikisht?
Keep Auto Sizes,Mbani madhësitë automatike
Use Custom Sizes,Përdorni madhësitë e personalizuara
What should happen Next?,Çfarë duhet të ndodhë më pas?
Need Attention by removing,Nevojë për vëmendje duke hequr
Where do you want to move the Inherited Layers?,Ku dëshironi të zhvendosni shtresat e trashëguara?
Drag & Drop Import File,Zvarrit dhe lësho skedarin e importit
or,ose
Click to Choose,Klikoni për të zgjedhur
Embed,Embed
Export,Eksporti
Folder,Dosja
Rename,Riemërto
Root Level,Niveli i rrënjës
Add Category,Shto kategori
Show,Shfaqje
Per Page,Për faqe
Layer converted Successfully,Shtresa u konvertua me sukses
Layer Loop Effect disabled,Efekti i ciklit të shtresës është çaktivizuar
<b>Layer width bleeds out of Grid:</b><br>-Auto Layer width has been removed<br>-Line Break set to Content Based,<b>Gjerësia e shtresës rrjedh nga rrjeti:</b><br>-Gjerësia automatike e shtresës është hequr<br>-Ndarja e linjës është caktuar në Bazuar në përmbajtje
Multiple Layerselection not Supported<br>in Animation Mode,Zgjedhja e shumë shtresave nuk mbështetet<br>në modalitetin e animacionit
Close News,Mbyll Lajmet
&copy; Copyright & License Info,© E drejta e autorit dhe Informacioni i Licencës
Registered,I regjistruar
Unregistered,I paregjistruar
Dismiss Messages,Hiq mesazhet
Some AddOns have new versions available,Disa Shtesa kanë versione të reja të disponueshme
New Version Available. Please Update,Versioni i ri në dispozicion. Ju lutemi Përditësoni
Plugin Outdated. Please Update,Shtojca është e vjetëruar. Ju lutemi Përditësoni
AddOns Outdated. Please Update,Shtesat janë të vjetruara. Ju lutemi Përditësoni
Plugin is not Registered,Shtojca nuk është e regjistruar
Register to unlock Premium Features,Regjistrohuni për të zhbllokuar veçoritë Premium
Register to Unlock all Features,Regjistrohuni për të zhbllokuar të gjitha funksionet
Register to unlock AddOns,Regjistrohuni për të zhbllokuar Shtesat
Register to unlock Support,Regjistrohuni për të zhbllokuar mbështetjen
Register to unlock Library,Regjistrohu për të zhbllokuar Bibliotekën
Register to unlock Updates,Regjistrohuni për të zhbllokuar Përditësimet
Register to unlock Templates,Regjistrohuni për të zhbllokuar shabllonet
Do you want to start the Update process?,Dëshironi të filloni procesin e Përditësimit?
are ready for import!,janë gati për import!
"Do you want to add them to the ""custom"" category or create a new category?","Dëshironi t'i shtoni ato në kategorinë ""e porositur"" apo të krijoni një kategori të re?"
Add To Custom,Add To Custom
Add To,Shto në
Create New Category,Krijo një kategori të re
Update Now,Përditëso tani
Install Critical Update,Instaloni përditësimin kritik
Higher Level,Niveli më i lartë
Current Level,Niveli aktual
Other Folders,Dosjet e tjera
Parent Level,Niveli i prindërve
from,nga
to,te
Action Needed,Veprimi i Nevojshëm
Done,U krye
Update All,Përditëso të gjitha
Update Later,Përditëso më vonë
The following AddOns require an update:,Shtesat e mëposhtme kërkojnë një përditësim:
AddOns need attention,Shtesat kanë nevojë për vëmendje
Updating Plugin Failed,Përditësimi i shtojcës dështoi
Updating Plugin...,Po përditëson shtesën...
License validation issue Occured. Please contact our Support.,Ndodhi një çështje e vërtetimit të licencës. Ju lutemi kontaktoni mbështetjen tonë.
Back to Overview,Kthehu te Përmbledhja
Page is reloading...,Faqja po ringarkohet...
Update Plugin,Përditëso shtojcën
Slider Revolution Plugin updated Successfully.,Shtojca Slider Revolution u përditësua me sukses.
Slider Revolution Plugin updated Failure:,Dështimi i përditësuar i Shtojcës Slider Revolution:
Slider Revolution Plugin updated Successfully to,Shtojca Slider Revolution u përditësua me sukses në
Reload Page,Rifresko faqen
Loading,Po ngarkohet
Global Colors,Ngjyrat globale
Elements,Elementet
Loading Thumbnails...,Duke ngarkuar fotografitë...
jQuery Triggered,jQuery u aktivizua
&lt;a&gt; Tag Link,&lt;a&gt; Etiketoni lidhjen
Random Slide,Rrëshqitje e rastësishme
First Slide,Rrëshqitja e parë
Last Slide,Rrëshqitja e fundit
Next Slide,Rrëshqitja tjetër
Previous Slide,Sllajdi i mëparshëm
Some Settings in Slider <strong>Source may not complete</strong>.<br>Please Complete All Settings in Slider Sources.,"Disa cilësime në <strong>Burimi i rrëshqitësit mund të mos përfundojnë</strong>.<br>Ju lutemi, plotësoni të gjitha cilësimet në burimet rrëshqitëse."
Some Layers are <strong>Locked</strong> and/or <strong>Invisible</strong>.<br>Change Status in Timeline.,"Disa shtresa janë <strong>të kyçura</strong> dhe/ose <strong>të padukshme</strong>.<br>Ndrysho statusin në ""Kronologji""."
Editor is Loading...,Redaktori po ngarkohet...
Adding new Blank Module...,Po shtohet moduli i ri bosh...
Opening,Hapja
Featured Images,Imazhet e veçuara
Images,Imazhet
None,Asnje
Select,Zgjidhni
Custom,Me porosi
OUT,JASHTË
IN,NË
Navigation Options,Opsionet e navigimit
Module General Options,Opsionet e përgjithshme të modulit
Slide Options,Opsionet e rrëshqitjes
Layer Options,Opsionet e shtresave
Set a Slide Background Image to use this feature,Vendosni një imazh të sfondit të rrëshqitjes për të përdorur këtë veçori
Slide Transition Presets,Paracaktimet e tranzicionit të rrëshqitjes
HTML,HTML
Root,Rrënja
Release to Add Layer,Lëshojeni për të shtuar shtresën
Release to Upload file,Lëshojeni skedarin për të ngarkuar
Module .zip,Moduli .zip
Processing Import of,Përpunimi Importi i
An Error Occured while importing,Ndodhi një gabim gjatë importimit
File Succesfully Imported,Skedari u importua me sukses
Import Report,Raporti i importit
Activate To Update,Aktivizo për të përditësuar
Activated,Aktivizuar
Not Activated,Nuk është aktivizuar
Standard Module Embedding,Vendosja standarde e modulit
For the <b>CMS Pages and Blocks</b> insert the Shortcode:,Për <b>Faqet dhe Blloqet CMS</b> futni Shortkodin:
Or Use the <b>Insert Widget</b> button and choose the <b>Slider Revolution Widget</b> and select the slider.,Ose Përdorni butonin <b>Fut miniaplikacionin</b> dhe zgjidhni <b>Widget-in e revolucionit rrëshqitës</b> dhe zgjidhni rrëshqitësin.
You can add the new <b>Slider Revolution Widget Instance</b> and configure it to be displayed on the specific part of the page.,Mund të shtoni <b>Instancën e re të miniaplikacionit të revolucionit rrëshqitës</b> dhe ta konfiguroni që të shfaqet në pjesën specifike të faqes.
Advanced Module Embedding,Vendosja e avancuar e modulit
For the <b>XML Layout Update</b> use the following code:,Për <b>Përditësimin e Layout XML</b> përdorni kodin e mëposhtëm:
To add the slider inside of the <b>template file</b> use this one:,Për të shtuar rrëshqitësin brenda <b>skedarit të shabllonit</b> përdorni këtë:
"To add the slider only to single Pages, use:","Për të shtuar rrëshqitësin vetëm në faqe të vetme, përdorni:"
Select a Layer,Zgjidhni një shtresë
Link Actions,Veprimet e lidhjes
Slide Actions,Veprimet e rrëshqitjes
Layer Actions,Veprimet e shtresave
Media Actions,Veprimet mediatike
Fullscreen Actions,Veprimet me ekran të plotë
Advanced Actions,Veprimet e avancuara
Menu Link & Scroll,Lidhja dhe Lëvizja e menysë
Simple Link,Lidhje e thjeshtë
Call Back,Thirrni përsëri
Open Slider Modal,Hapni Slider Modal
Scroll below Slider,Lëvizni poshtë Slider
Scroll To ID,Lëvizni te ID
Jump to Slide,Shko te Slide
Next Frame,Korniza tjetër
Previous Frame,Korniza e mëparshme
Pause Slider,Ndalo rrëshqitësin
Play Slide,Luaj Slide
Close Slider Modal,Mbyll modalin rrëshqitës
Toggle Slider,Ndrysho rrëshqitësin
Go to 1st Frame,Shkoni te Korniza 1
Go to Last Frame,Shkoni te Korniza e Fundit
"Go to Frame ""N""","Shkoni te korniza ""N"""
Toggle 1st / Last Frame,Ndrysho kuadrin e 1-rë / të fundit
"Toggle ""N/M"" Frames","Ndrysho kornizat ""N/M""."
Start Media,Filloni Media
Stop Media,Ndalo median
Toggle Media,Aktivizo Media
Mute Media,Heshtja e medias
Unmute Media,Hiq zërin e medias
Toggle Mute Media,Aktivizo Çaktivizimin e medias
Toggle Mute All Media,"Aktivizo ""Heshtja e të gjitha mediave""."
Toggle Fullscreen,Ndrysho ekranin e plotë
Enter Fullscreen,Hyni në ekran të plotë
Exit Fullscreen,Dilni nga ekrani i plotë
Simulate Click,Simuloni klikim
Toggle Class,Ndrysho klasën
Background Video,Video në sfond
Video in Active Slide,Video në rrëshqitje aktive
Add Action to,Shto veprim në
Layer Objects,Objektet e shtresave
Objects,Objektet
Own Modules,Modulet e Veta
Font Icons,Ikonat e shkronjave
Module Templates,Modelet e moduleve
Videos,Videot
SVG's,SVG-të
Favorites,Të preferuarat
Installed,Instaluar
Not Installed,Nuk është instaluar
Setup Notes,Shënimet e konfigurimit
Requirements,Kërkesat
Installed Version,Versioni i instaluar
Use LineBreaks only in Columns,Përdorni LineBreaks vetëm në Kolona
Available Version,Versioni i disponueshëm
Installing Template,Instalimi i shabllonit
Publish,Publikoni
Unpublish,Anulo publikimin
Slide Published,Slide Publikuar
Slide Unpublished,Diapozitivi i papublikuar
Layer Published,Shtresa e publikuar
Layer Unpublished,Shtresa e pabotuar
FOLDER,DOSJE
MODULE,MODULI
OBJECT,OBJEKT
PACKAGE,PAKETA
Thumbnail,Miniatura
IMAGE,IMAZHI
VIDEO,VIDEO
ICON,IKONA
SVG,SVG
FONT,FONT
Re-Download Online,Ri-Shkarko Online
Create Blank Page,Krijo faqe boshe
Changing Screen Size,Ndryshimi i madhësisë së ekranit
Headlines,Titujt
Buttons,Butonat
BG & Space,BG & Hapësirë
Shadow,Hije
Saving Slide,Ruajtja e rrëshqitjes
Loading Configuration,Po ngarkohet konfigurimi
Updating Lists,Përditësimi i listave
Text Layers,Shtresat e tekstit
Global Layers,Shtresat globale
Slider Settings,Cilësimet e rrëshqitësit
Animate From,Animate Nga
Keyframe #,Korniza kryesore #
Transform Idle,Transformo Idle
Anim From,Anim Nga
Anim To,Anim Për
Keyframe,Korniza kryesore
Not Enough space between Frames.,Hapësirë jo e mjaftueshme midis kornizave.
Frame Size can not be Extended. Not enough Space.,Madhësia e kornizës nuk mund të zgjerohet. Hapësirë jo e mjaftueshme.
Loop Template,Modeli i ciklit
Animation Template,Modeli i animacionit
Choose Image,Zgjidhni imazhin
Choose Video,Zgjidhni Video
Slider Revolution Shortcode Creator,Krijuesi i kodit të shkurtër të revolucionit rrëshqitës
Shortcode Generator,Gjenerator i kodeve të shkurtra
Please add at least one Layer.,Ju lutemi shtoni të paktën një shtresë.
Shortcode parsing successfull. Items can be found in step 3,Analizimi i kodit të shkurtër u krye me sukses. Artikujt mund të gjenden në hapin 3
Shortcode could not be parsed.,Kodi i shkurtër nuk mund të analizohej.
Addon Required,Kërkohet shtesë
Installing Template Package,Instalimi i paketës së shabllonit
Install Template Package,Instaloni paketën e shabllonit
Install Template,Instaloni shabllonin
Update To Latest Version,Përditëso në versionin e fundit
Install Template Package & Addon(s),Instalo paketën e shabllonit dhe shtesat
Install Template & Addon(s),Instalo shabllonin dhe shtesat
Activate License,Aktivizoni Licencën
Search Icons...,Ikonat e kërkimit...
Current Settings (Click to Save as Preset),Cilësimet aktuale (Kliko për ta ruajtur si të paracaktuar)
Custom Presets,Paracaktimet e personalizuara
Overwrite Template ?,Mbivendos shabllonin?
Delete Template ?,Të fshihet shablloni?
Credits,Kreditë
Random Animation,Animacion i rastësishëm
Transition,Tranzicioni
Duration,Kohëzgjatja
Global,globale
Install Add-On,Instaloni shtesën
Install,Instaloni
Enable Add-On,Aktivizo shtesën
Disable Add-On,Çaktivizo shtesën
Enable Global Add-On,Aktivizo shtesën globale
Disable Global Add-On,Çaktivizo shtesën globale
Slider Revolution Version,Versioni i revolucionit rrëshqitës
Check Requirements,Kontrolloni kërkesat
Activate Global Add-On,Aktivizoni shtesën globale
Activate Add-On,Aktivizoni shtesën
Activating Add-On,Aktivizimi i shtesës
Enabling Add-On,Aktivizimi i shtesës
Add-On,Shtoni në
Installing Add-On,Instalimi i shtesës
Disabling Add-On,Çaktivizimi i shtesës
Building Select Boxes,Ndërtimi i kutive të përzgjedhjes
Warning,Paralajmërim
Blank Page Created,Faqja boshe u krijua
Blank page has been created:,Faqja e zbrazët është krijuar:
Visit Page,Vizitoni faqen
Edit Page,Redakto faqen
Close,Mbylle
The changes you made require a page reload!,Ndryshimet që keni bërë kërkojnë një ringarkim të faqes!
Save your project & reload the page or cancel,Ruani projektin tuaj dhe ringarkoni faqen ose anuloni
Save & Reload,Ruaj & Rifresko
Cancel & Reload Later,Anulo dhe ringarkoje më vonë
Save Configuration,Ruaj konfigurimin
Updating,Po përditësohet
Enable/Disable Add-On on Module,Aktivizo/çaktivizo shtesën në modul
Open Quick Content Editor,Hapni Redaktorin e Shpejtë të Përmbajtjes
Open Quick Style Editor,Hap redaktuesin e stilit të shpejtë
Sort by Creation,Rendit sipas krijimit
Creation Ascending,Krijimi në ngjitje
Sort by Title,Rendit sipas titullit
Title Descending,Titulli në zbritje
Update List,Përditëso listën
Audio Wave Library is Loading...,Biblioteka e valëve audio po ngarkohet...
Edit Module,Redakto modulin
Edit Slide,Redakto rrëshqitjen
Show Slides,Shfaq rrëshqitjet
Open in Editor,Hapni në Redaktues
Open Folder,Hap dosjen
Move to Folder,Lëvizni te Dosja
Loading RevMirror Library...,Po ngarkohet Biblioteka RevMirror...
Lock / Unlock Selected,Bllokimi / Zhbllokimi u zgjodh
Layers Importing,Importimi i shtresave
Nothing Selected,Asgjë e zgjedhur
Layer with Action,Shtresa me Veprim
Image is Loading...,Imazhi po ngarkohet...
Importing Layers...,Importimi i shtresave...
Triggered By,I shkaktuar nga
Imported,I importuar
